Date,fee_to_reward30momUSD
2010/11/03,0
2010/11/04,0
2010/11/05,0
2010/11/06,0
2010/11/07,0
2010/11/08,0.013
2010/11/09,0
2010/11/10,0
2010/11/11,0
2010/11/12,-0.008
2010/11/13,0
2010/11/14,0
2010/11/15,0.005
2010/11/16,0
2010/11/17,0
2010/11/18,0
2010/11/19,0.001
2010/11/20,0.017
2010/11/21,0.015
2010/11/22,0.012
2010/11/23,0.012
2010/11/24,0.002
2010/11/25,0
2010/11/26,0.004
2010/11/27,0
2010/11/28,0
2010/11/29,0.001
2010/11/30,0
2010/12/01,0.001
2010/12/02,0.001
2010/12/03,0
2010/12/04,0
2010/12/05,0.001
2010/12/06,0.001
2010/12/07,0.001
2010/12/08,-0.012
2010/12/09,0.001
2010/12/10,0.002
2010/12/11,0.002
2010/12/12,0.002
2010/12/13,0.006
2010/12/14,0.001
2010/12/15,-0.004
2010/12/16,0.002
2010/12/17,0.004
2010/12/18,0.001
2010/12/19,0.001
2010/12/20,-0.016
2010/12/21,-0.013
2010/12/22,-0.01
2010/12/23,-0.01
2010/12/24,-0.001
2010/12/25,0.001
2010/12/26,-0.003
2010/12/27,0.001
2010/12/28,0.002
2010/12/29,0.002
2010/12/30,0.001
2010/12/31,0
2011/01/01,0
2011/01/02,0.001
2011/01/03,0.011
2011/01/04,0
2011/01/05,0.001
2011/01/06,0
2011/01/07,0
2011/01/08,0
2011/01/09,0
2011/01/10,-0.001
2011/01/11,-0.002
2011/01/12,-0.002
2011/01/13,0
2011/01/14,0
2011/01/15,0
2011/01/16,-0.003
2011/01/17,0.001
2011/01/18,-0.001
2011/01/19,0
2011/01/20,0
2011/01/21,-0.002
2011/01/22,0.005
2011/01/23,0.004
2011/01/24,0.002
2011/01/25,0
2011/01/26,0
2011/01/27,0.007
2011/01/28,-0.002
2011/01/29,0.005
2011/01/30,0.038
2011/01/31,0.009
2011/02/01,0.01
2011/02/02,-0.01
2011/02/03,0.002
2011/02/04,0
2011/02/05,0.001
2011/02/06,0.001
2011/02/07,0.004
2011/02/08,0.001
2011/02/09,0
2011/02/10,0.01
2011/02/11,0.002
2011/02/12,0.008
2011/02/13,0.002
2011/02/14,0.029
2011/02/15,0.001
2011/02/16,0.003
2011/02/17,0.001
2011/02/18,0.005
2011/02/19,0.006
2011/02/20,0.002
2011/02/21,-0.002
2011/02/22,-0.002
2011/02/23,0.001
2011/02/24,0
2011/02/25,0.003
2011/02/26,-0.004
2011/02/27,0.009
2011/02/28,0.001
2011/03/01,-0.032
2011/03/02,-0.005
2011/03/03,0.069
2011/03/04,0.007
2011/03/05,0.017
2011/03/06,0.042
2011/03/07,0.061
2011/03/08,0.044
2011/03/09,0.04
2011/03/10,0.041
2011/03/11,0.108
2011/03/12,0.013
2011/03/13,0.026
2011/03/14,0.025
2011/03/15,0.031
2011/03/16,-0.003
2011/03/17,0.018
2011/03/18,0.018
2011/03/19,0.021
2011/03/20,0.032
2011/03/21,0.113
2011/03/22,0.184
2011/03/23,0.233
2011/03/24,0.114
2011/03/25,0.062
2011/03/26,0.067
2011/03/27,0.09
2011/03/28,0.051
2011/03/29,0.035
2011/03/30,0.051
2011/03/31,0.036
2011/04/01,0.038
2011/04/02,-0.047
2011/04/03,0.046
2011/04/04,0.049
2011/04/05,0.016
2011/04/06,0.008
2011/04/07,-0.001
2011/04/08,0.01
2011/04/09,0.016
2011/04/10,-0.041
2011/04/11,0.035
2011/04/12,0.031
2011/04/13,0.012
2011/04/14,0.154
2011/04/15,0.012
2011/04/16,0.025
2011/04/17,0.002
2011/04/18,0.025
2011/04/19,0.039
2011/04/20,-0.016
2011/04/21,-0.137
2011/04/22,-0.172
2011/04/23,-0.051
2011/04/24,0.023
2011/04/25,0.029
2011/04/26,-0.038
2011/04/27,0.049
2011/04/28,0.041
2011/04/29,0.021
2011/04/30,0.071
2011/05/01,0.089
2011/05/02,0.018
2011/05/03,-0.001
2011/05/04,0
2011/05/05,0.033
2011/05/06,0.003
2011/05/07,0.021
2011/05/08,0.019
2011/05/09,0.038
2011/05/10,0.027
2011/05/11,0.031
2011/05/12,0.028
2011/05/13,0.072
2011/05/14,-0.061
2011/05/15,0.104
2011/05/16,0.08
2011/05/17,0.088
2011/05/18,0.097
2011/05/19,0.12
2011/05/20,0.062
2011/05/21,0.151
2011/05/22,0.091
2011/05/23,0.065
2011/05/24,0.06
2011/05/25,0.045
2011/05/26,0.094
2011/05/27,0.067
2011/05/28,0.1
2011/05/29,0.08
2011/05/30,0.135
2011/05/31,0.14
2011/06/01,0.211
2011/06/02,0.203
2011/06/03,0.196
2011/06/04,0.202
2011/06/05,0.158
2011/06/06,0.191
2011/06/07,0.274
2011/06/08,0.388
2011/06/09,0.301
2011/06/10,0.261
2011/06/11,0.196
2011/06/12,0.269
2011/06/13,0.201
2011/06/14,0.154
2011/06/15,0.167
2011/06/16,0.244
2011/06/17,0.193
2011/06/18,0.095
2011/06/19,0.07
2011/06/20,-0.024
2011/06/21,-0.012
2011/06/22,0.008
2011/06/23,-0.025
2011/06/24,0.012
2011/06/25,0.182
2011/06/26,0.172
2011/06/27,0.132
2011/06/28,0.092
2011/06/29,-0.014
2011/06/30,-0.083
2011/07/01,-0.044
2011/07/02,-0.078
2011/07/03,-0.101
2011/07/04,-0.103
2011/07/05,0.041
2011/07/06,-0.038
2011/07/07,-0.131
2011/07/08,-0.322
2011/07/09,-0.219
2011/07/10,-0.165
2011/07/11,-0.095
2011/07/12,-0.202
2011/07/13,-0.168
2011/07/14,-0.109
2011/07/15,-0.088
2011/07/16,-0.214
2011/07/17,-0.191
2011/07/18,-0.137
2011/07/19,-0.024
2011/07/20,-0.033
2011/07/21,-0.024
2011/07/22,0.043
2011/07/23,-0.016
2011/07/24,-0.029
2011/07/25,-0.182
2011/07/26,-0.252
2011/07/27,-0.213
2011/07/28,-0.152
2011/07/29,-0.147
2011/07/30,-0.112
2011/07/31,-0.14
2011/08/01,-0.083
2011/08/02,-0.067
2011/08/03,-0.085
2011/08/04,-0.152
2011/08/05,-0.127
2011/08/06,0.184
2011/08/07,-0.058
2011/08/08,-0.058
2011/08/09,-0.023
2011/08/10,-0.048
2011/08/11,-0.079
2011/08/12,-0.065
2011/08/13,-0.081
2011/08/14,-0.046
2011/08/15,0.009
2011/08/16,-0.008
2011/08/17,-0.054
2011/08/18,-0.128
2011/08/19,-0.024
2011/08/20,-0.048
2011/08/21,-0.11
2011/08/22,-0.016
2011/08/23,-0.034
2011/08/24,-0.017
2011/08/25,0
2011/08/26,-0.039
2011/08/27,-0.015
2011/08/28,-0.009
2011/08/29,0.002
2011/08/30,0.058
2011/08/31,-0.017
2011/09/01,-0.01
2011/09/02,-0.017
2011/09/03,-0.068
2011/09/04,0.057
2011/09/05,-0.307
2011/09/06,-0.018
2011/09/07,0.003
2011/09/08,-0.089
2011/09/09,-0.042
2011/09/10,-0.023
2011/09/11,-0.011
2011/09/12,-0.025
2011/09/13,-0.099
2011/09/14,-0.1
2011/09/15,-0.041
2011/09/16,-0.016
2011/09/17,-0.005
2011/09/18,-0.051
2011/09/19,0.022
2011/09/20,0.023
2011/09/21,-0.019
2011/09/22,-0.039
2011/09/23,-0.067
2011/09/24,0.016
2011/09/25,-0.015
2011/09/26,-0.039
2011/09/27,-0.008
2011/09/28,-0.018
2011/09/29,-0.081
2011/09/30,-0.018
2011/10/01,-0.036
2011/10/02,-0.036
2011/10/03,0.073
2011/10/04,-0.083
2011/10/05,-0.038
2011/10/06,0.041
2011/10/07,-0.058
2011/10/08,-0.017
2011/10/09,-0.054
2011/10/10,-0.027
2011/10/11,0.031
2011/10/12,-0.004
2011/10/13,0.028
2011/10/14,-0.003
2011/10/15,-0.044
2011/10/16,-0.03
2011/10/17,-0.005
2011/10/18,-0.02
2011/10/19,-0.045
2011/10/20,0.012
2011/10/21,-0.027
2011/10/22,0.006
2011/10/23,-0.006
2011/10/24,-0.05
2011/10/25,-0.007
2011/10/26,0.009
2011/10/27,-0.017
2011/10/28,-0.002
2011/10/29,0.007
2011/10/30,0
2011/10/31,-0.003
2011/11/01,0.013
2011/11/02,-0.083
2011/11/03,-0.019
2011/11/04,-0.012
2011/11/05,-0.078
2011/11/06,-0.03
2011/11/07,-0.003
2011/11/08,0.01
2011/11/09,-0.014
2011/11/10,-0.066
2011/11/11,-0.043
2011/11/12,-0.052
2011/11/13,-0.01
2011/11/14,-0.012
2011/11/15,-0.019
2011/11/16,-0.017
2011/11/17,-0.007
2011/11/18,0.001
2011/11/19,-0.055
2011/11/20,0.011
2011/11/21,-0.01
2011/11/22,-0.016
2011/11/23,-0.002
2011/11/24,0.029
2011/11/25,0.011
2011/11/26,-0.006
2011/11/27,-0.013
2011/11/28,-0.014
2011/11/29,0.004
2011/11/30,-0.003
2011/12/01,-0.016
2011/12/02,0.02
2011/12/03,0.015
2011/12/04,-0.001
2011/12/05,-0.012
2011/12/06,0.017
2011/12/07,0.003
2011/12/08,-0.023
2011/12/09,0
2011/12/10,-0.007
2011/12/11,2.861
2011/12/12,2.752
2011/12/13,0.022
2011/12/14,0.012
2011/12/15,0.107
2011/12/16,-0.01
2011/12/17,0.008
2011/12/18,-0.007
2011/12/19,0.001
2011/12/20,0.033
2011/12/21,0.011
2011/12/22,0.005
2011/12/23,-0.015
2011/12/24,-0.04
2011/12/25,-0.03
2011/12/26,-0.01
2011/12/27,-0.003
2011/12/28,-0.007
2011/12/29,-0.003
2011/12/30,0.002
2011/12/31,0.003
2012/01/01,-0.016
2012/01/02,0.013
2012/01/03,0.026
2012/01/04,0.156
2012/01/05,0.028
2012/01/06,0.021
2012/01/07,0.016
2012/01/08,0.005
2012/01/09,0.039
2012/01/10,-2.826
2012/01/11,-2.711
2012/01/12,0.479
2012/01/13,0.091
2012/01/14,0.031
2012/01/15,0.15
2012/01/16,0.406
2012/01/17,0.055
2012/01/18,0.119
2012/01/19,0.284
2012/01/20,0.289
2012/01/21,0.012
2012/01/22,0.008
2012/01/23,0.028
2012/01/24,0.108
2012/01/25,0.068
2012/01/26,0.09
2012/01/27,0.291
2012/01/28,0.066
2012/01/29,2.592
2012/01/30,0.293
2012/01/31,0.05
2012/02/01,-0.007
2012/02/02,0.08
2012/02/03,-0.106
2012/02/04,0.034
2012/02/05,-0.017
2012/02/06,0.01
2012/02/07,0.052
2012/02/08,-0.008
2012/02/09,0.033
2012/02/10,-0.015
2012/02/11,-0.488
2012/02/12,-0.093
2012/02/13,-0.096
2012/02/14,0.03
2012/02/15,-0.363
2012/02/16,0.048
2012/02/17,-0.124
2012/02/18,-0.333
2012/02/19,-0.313
2012/02/20,0
2012/02/21,0.008
2012/02/22,-0.016
2012/02/23,-0.081
2012/02/24,-0.045
2012/02/25,-0.093
2012/02/26,-0.286
2012/02/27,-0.053
2012/02/28,-2.591
2012/02/29,-0.308
2012/03/01,-0.007
2012/03/02,0
2012/03/03,-0.104
2012/03/04,-0.017
2012/03/05,-0.04
2012/03/06,0.011
2012/03/07,-0.007
2012/03/08,-0.045
2012/03/09,-0.021
2012/03/10,-0.049
2012/03/11,-0.017
2012/03/12,-0.007
2012/03/13,0.094
2012/03/14,-0.001
2012/03/15,-0.166
2012/03/16,0.026
2012/03/17,-0.105
2012/03/18,-0.007
2012/03/19,0.02
2012/03/20,0.027
2012/03/21,-0.016
2012/03/22,-0.01
2012/03/23,0.025
2012/03/24,0.105
2012/03/25,0.03
2012/03/26,0.008
2012/03/27,0.009
2012/03/28,-0.008
2012/03/29,0.015
2012/03/30,0.019
2012/03/31,-0.036
2012/04/01,-0.013
2012/04/02,0.029
2012/04/03,0.006
2012/04/04,0
2012/04/05,0.012
2012/04/06,0.019
2012/04/07,0.005
2012/04/08,0.003
2012/04/09,-0.001
2012/04/10,0.052
2012/04/11,0.029
2012/04/12,-0.044
2012/04/13,-0.009
2012/04/14,0.028
2012/04/15,-0.048
2012/04/16,0.038
2012/04/17,0.06
2012/04/18,0.037
2012/04/19,0.014
2012/04/20,0.052
2012/04/21,0.022
2012/04/22,0.003
2012/04/23,-0.102
2012/04/24,0.007
2012/04/25,0.041
2012/04/26,0.106
2012/04/27,0.037
2012/04/28,0.028
2012/04/29,-0.012
2012/04/30,0.004
2012/05/01,0.025
2012/05/02,0.02
2012/05/03,0.068
2012/05/04,0.058
2012/05/05,0.011
2012/05/06,0.019
2012/05/07,0.101
2012/05/08,0.089
2012/05/09,0.118
2012/05/10,0.042
2012/05/11,0.097
2012/05/12,0.072
2012/05/13,0.102
2012/05/14,0.312
2012/05/15,0.245
2012/05/16,0.135
2012/05/17,0.102
2012/05/18,0.14
2012/05/19,0.351
2012/05/20,0.195
2012/05/21,0.245
2012/05/22,0.152
2012/05/23,0.23
2012/05/24,0.215
2012/05/25,0.23
2012/05/26,0.058
2012/05/27,0.118
2012/05/28,0.183
2012/05/29,0.223
2012/05/30,0.23
2012/05/31,0.102
2012/06/01,0.123
2012/06/02,-0.055
2012/06/03,0.121
2012/06/04,0.276
2012/06/05,0.319
2012/06/06,-0.011
2012/06/07,0.167
2012/06/08,0.063
2012/06/09,0.128
2012/06/10,0.133
2012/06/11,0.089
2012/06/12,-0.025
2012/06/13,0.104
2012/06/14,0.181
2012/06/15,0.206
2012/06/16,0.151
2012/06/17,0.086
2012/06/18,-0.108
2012/06/19,0.053
2012/06/20,-0.011
2012/06/21,0.24
2012/06/22,0.007
2012/06/23,-0.094
2012/06/24,-0.095
2012/06/25,-0.01
2012/06/26,0.024
2012/06/27,-0.051
2012/06/28,-0.039
2012/06/29,-0.126
2012/06/30,0.03
2012/07/01,-0.08
2012/07/02,0.152
2012/07/03,-0.097
2012/07/04,-0.193
2012/07/05,-0.233
2012/07/06,0.064
2012/07/07,0.209
2012/07/08,-0.084
2012/07/09,-0.07
2012/07/10,0.015
2012/07/11,0.025
2012/07/12,0.036
2012/07/13,-0.327
2012/07/14,-0.304
2012/07/15,-0.169
2012/07/16,-0.07
2012/07/17,-0.089
2012/07/18,0.022
2012/07/19,-0.044
2012/07/20,0.206
2012/07/21,-0.179
2012/07/22,-0.067
2012/07/23,0.091
2012/07/24,-0.025
2012/07/25,-0.021
2012/07/26,-0.03
2012/07/27,-0.03
2012/07/28,0.038
2012/07/29,0.06
2012/07/30,0.016
2012/07/31,0.188
2012/08/01,0.057
2012/08/02,0.086
2012/08/03,0.129
2012/08/04,0.034
2012/08/05,0.157
2012/08/06,-0.16
2012/08/07,0.08
2012/08/08,0.436
2012/08/09,-0.116
2012/08/10,0.284
2012/08/11,0.047
2012/08/12,0.04
2012/08/13,0.128
2012/08/14,0.012
2012/08/15,0.122
2012/08/16,0.133
2012/08/17,0.106
2012/08/18,-0.058
2012/08/19,-0.266
2012/08/20,0.033
2012/08/21,0.05
2012/08/22,-0.015
2012/08/23,0.054
2012/08/24,0.071
2012/08/25,0.131
2012/08/26,0.037
2012/08/27,0.128
2012/08/28,0.11
2012/08/29,0.06
2012/08/30,0.054
2012/08/31,0.136
2012/09/01,0.198
2012/09/02,0.066
2012/09/03,0.22
2012/09/04,0.018
2012/09/05,-0.066
2012/09/06,0.068
2012/09/07,-0.394
2012/09/08,0.102
2012/09/09,-0.293
2012/09/10,0.093
2012/09/11,0.207
2012/09/12,-0.054
2012/09/13,0.039
2012/09/14,-0.156
2012/09/15,-0.163
2012/09/16,-0.263
2012/09/17,-0.066
2012/09/18,0.029
2012/09/19,-0.013
2012/09/20,-0.047
2012/09/21,0.054
2012/09/22,-0.058
2012/09/23,-0.03
2012/09/24,0.023
2012/09/25,-0.023
2012/09/26,-0.118
2012/09/27,-0.132
2012/09/28,0.462
2012/09/29,-0.207
2012/09/30,-0.29
2012/10/01,-0.185
2012/10/02,0.044
2012/10/03,-0.153
2012/10/04,1.585
2012/10/05,0.114
2012/10/06,-0.01
2012/10/07,0.184
2012/10/08,-0.001
2012/10/09,0.085
2012/10/10,-0.006
2012/10/11,-0.097
2012/10/12,0.01
2012/10/13,-0.018
2012/10/14,0.02
2012/10/15,0.053
2012/10/16,0.139
2012/10/17,0.761
2012/10/18,-0.051
2012/10/19,-0.07
2012/10/20,-0.009
2012/10/21,-0.039
2012/10/22,0.126
2012/10/23,0.092
2012/10/24,-0.106
2012/10/25,0.026
2012/10/26,-0.057
2012/10/27,-0.056
2012/10/28,-0.595
2012/10/29,0.05
2012/10/30,0.187
2012/10/31,0.066
2012/11/01,-0.121
2012/11/02,0.102
2012/11/03,-1.715
2012/11/04,-0.156
2012/11/05,0.034
2012/11/06,-0.042
2012/11/07,0.066
2012/11/08,-0.034
2012/11/09,-0.059
2012/11/10,-0.027
2012/11/11,-0.037
2012/11/12,-0.014
2012/11/13,0.024
2012/11/14,0.065
2012/11/15,0.142
2012/11/16,-0.496
2012/11/17,0.148
2012/11/18,0.138
2012/11/19,0.155
2012/11/20,0.075
2012/11/21,0.084
2012/11/22,-0.019
2012/11/23,0.063
2012/11/24,0.055
2012/11/25,0.182
2012/11/26,0.193
2012/11/27,0.948
2012/11/28,0.39
2012/11/29,0.381
2012/11/30,0.399
2012/12/01,0.337
2012/12/02,0.048
2012/12/03,0.241
2012/12/04,0.749
2012/12/05,0.565
2012/12/06,0.524
2012/12/07,0.379
2012/12/08,0.417
2012/12/09,0.513
2012/12/10,0.557
2012/12/11,0.633
2012/12/12,0.605
2012/12/13,1.07
2012/12/14,0.878
2012/12/15,0.37
2012/12/16,0.556
2012/12/17,0.619
2012/12/18,0.895
2012/12/19,0.596
2012/12/20,0.784
2012/12/21,0.758
2012/12/22,0.757
2012/12/23,0.697
2012/12/24,0.557
2012/12/25,0.345
2012/12/26,0.419
2012/12/27,-0.161
2012/12/28,0.269
2012/12/29,0.113
2012/12/30,0.122
2012/12/31,-0.015
2013/01/01,0.2
2013/01/02,0.336
2013/01/03,-0.074
2013/01/04,0.112
2013/01/05,-0.02
2013/01/06,0.205
2013/01/07,0.107
2013/01/08,0.199
2013/01/09,0.144
2013/01/10,3.147
2013/01/11,0.56
2013/01/12,-0.173
2013/01/13,-0.033
2013/01/14,0.049
2013/01/15,0.105
2013/01/16,0.261
2013/01/17,0.082
2013/01/18,0.252
2013/01/19,0.462
2013/01/20,-0.155
2013/01/21,-0.169
2013/01/22,-0.108
2013/01/23,0.548
2013/01/24,0.37
2013/01/25,0.441
2013/01/26,0.276
2013/01/27,0.371
2013/01/28,0.337
2013/01/29,0.404
2013/01/30,0.29
2013/01/31,0.358
2013/02/01,0.572
2013/02/02,0.975
2013/02/03,0.111
2013/02/04,0.209
2013/02/05,0.051
2013/02/06,0.027
2013/02/07,0.28
2013/02/08,0.29
2013/02/09,-2.768
2013/02/10,-0.323
2013/02/11,0.025
2013/02/12,0.212
2013/02/13,0.416
2013/02/14,0.041
2013/02/15,0.022
2013/02/16,-0.282
2013/02/17,-0.241
2013/02/18,-0.517
2013/02/19,0.15
2013/02/20,0.135
2013/02/21,0.244
2013/02/22,-0.153
2013/02/23,0.045
2013/02/24,-0.054
2013/02/25,0.076
2013/02/26,0.105
2013/02/27,-0.042
2013/02/28,0.184
2013/03/01,0.855
2013/03/02,0.411
2013/03/03,-0.298
2013/03/04,-0.678
2013/03/05,0.35
2013/03/06,2.815
2013/03/07,0.514
2013/03/08,0.301
2013/03/09,-0.027
2013/03/10,0.034
2013/03/11,-0.044
2013/03/12,0.828
2013/03/13,0.113
2013/03/14,-0.214
2013/03/15,0.194
2013/03/16,-0.424
2013/03/17,-0.662
2013/03/18,-0.273
2013/03/19,0.215
2013/03/20,-0.41
2013/03/21,-0.234
2013/03/22,0.147
2013/03/23,-0.196
2013/03/24,-0.385
2013/03/25,0.056
2013/03/26,0.046
2013/03/27,0.511
2013/03/28,-0.033
2013/03/29,0.259
2013/03/30,0.035
2013/03/31,-0.685
2013/04/01,-0.528
2013/04/02,0.23
2013/04/03,0.373
2013/04/04,0.487
2013/04/05,-2.477
2013/04/06,-0.574
2013/04/07,0.122
2013/04/08,-0.039
2013/04/09,-0.215
2013/04/10,0.134
2013/04/11,-0.379
2013/04/12,-0.037
2013/04/13,-0.207
2013/04/14,-0.113
2013/04/15,1.067
2013/04/16,0.559
2013/04/17,1.082
2013/04/18,-0.057
2013/04/19,0.892
2013/04/20,0.266
2013/04/21,-0.429
2013/04/22,0.24
2013/04/23,0.585
2013/04/24,0.302
2013/04/25,0.203
2013/04/26,-0.861
2013/04/27,-0.269
2013/04/28,-0.642
2013/04/29,-0.421
2013/04/30,0.139
2013/05/01,0.207
2013/05/02,0.21
2013/05/03,-0.283
2013/05/04,-0.808
2013/05/05,-0.551
2013/05/06,0.316
2013/05/07,-0.199
2013/05/08,0.066
2013/05/09,0.475
2013/05/10,0.136
2013/05/11,-0.222
2013/05/12,0.041
2013/05/13,0.373
2013/05/14,0.092
2013/05/15,-0.094
2013/05/16,0.888
2013/05/17,-0.514
2013/05/18,-0.094
2013/05/19,-0.396
2013/05/20,0.143
2013/05/21,0.475
2013/05/22,0.063
2013/05/23,-0.156
2013/05/24,-0.389
2013/05/25,-0.256
2013/05/26,-0.173
2013/05/27,0.048
2013/05/28,0.633
2013/05/29,0.187
2013/05/30,-0.164
2013/05/31,-0.052
2013/06/01,-0.777
2013/06/02,-0.338
2013/06/03,-0.042
2013/06/04,0.13
2013/06/05,0.031
2013/06/06,-0.197
2013/06/07,-0.282
2013/06/08,-0.574
2013/06/09,-0.575
2013/06/10,-0.552
2013/06/11,-0.281
2013/06/12,-0.496
2013/06/13,-0.597
2013/06/14,-0.887
2013/06/15,-1.292
2013/06/16,-0.687
2013/06/17,-0.044
2013/06/18,-0.127
2013/06/19,-0.242
2013/06/20,0.568
2013/06/21,-0.25
2013/06/22,-0.033
2013/06/23,-0.34
2013/06/24,-0.099
2013/06/25,0.086
2013/06/26,-0.181
2013/06/27,-0.638
2013/06/28,-0.101
2013/06/29,-0.477
2013/06/30,-0.264
2013/07/01,-0.158
2013/07/02,-0.051
2013/07/03,-0.486
2013/07/04,-0.446
2013/07/05,-0.598
2013/07/06,-0.269
2013/07/07,-0.57
2013/07/08,-0.33
2013/07/09,-0.153
2013/07/10,-0.248
2013/07/11,-0.243
2013/07/12,-0.039
2013/07/13,-0.023
2013/07/14,-0.27
2013/07/15,-0.217
2013/07/16,0.196
2013/07/17,-0.279
2013/07/18,-0.147
2013/07/19,-0.598
2013/07/20,-1.294
2013/07/21,-0.523
2013/07/22,-0.461
2013/07/23,-0.188
2013/07/24,-0.146
2013/07/25,0.064
2013/07/26,-0.426
2013/07/27,-0.025
2013/07/28,-0.563
2013/07/29,0.105
2013/07/30,0.004
2013/07/31,0.417
2013/08/01,-0.063
2013/08/02,-0.006
2013/08/03,0.055
2013/08/04,0.005
2013/08/05,-0.049
2013/08/06,0.476
2013/08/07,-0.006
2013/08/08,0.203
2013/08/09,0.354
2013/08/10,-0.245
2013/08/11,-0.188
2013/08/12,-0.383
2013/08/13,0.115
2013/08/14,0.501
2013/08/15,0.601
2013/08/16,0.378
2013/08/17,-0.317
2013/08/18,0.448
2013/08/19,0.596
2013/08/20,0.223
2013/08/21,-0.137
2013/08/22,0.108
2013/08/23,-0.203
2013/08/24,-0.316
2013/08/25,0.303
2013/08/26,0.268
2013/08/27,0.37
2013/08/28,4.87
2013/08/29,-0.192
2013/08/30,-0.178
2013/08/31,-0.302
2013/09/01,-0.154
2013/09/02,0.257
2013/09/03,-0.06
2013/09/04,0.074
2013/09/05,-0.147
2013/09/06,0.045
2013/09/07,-0.279
2013/09/08,-0.232
2013/09/09,0.036
2013/09/10,-0.074
2013/09/11,-0.019
2013/09/12,-0.079
2013/09/13,-0.634
2013/09/14,-1.1
2013/09/15,-0.499
2013/09/16,0.455
2013/09/17,5.411
2013/09/18,1.457
2013/09/19,1.184
2013/09/20,-0.115
2013/09/21,-0.15
2013/09/22,-0.171
2013/09/23,0.144
2013/09/24,-0.221
2013/09/25,-0.375
2013/09/26,-0.267
2013/09/27,-3.722
2013/09/28,0.018
2013/09/29,-0.245
2013/09/30,0.071
2013/10/01,0.381
2013/10/02,-0.046
2013/10/03,0.091
2013/10/04,-0.112
2013/10/05,-0.25
2013/10/06,-0.264
2013/10/07,0.158
2013/10/08,-0.239
2013/10/09,0.076
2013/10/10,0.111
2013/10/11,0.041
2013/10/12,0.031
2013/10/13,0.146
2013/10/14,0.156
2013/10/15,-0.016
2013/10/16,-0.167
2013/10/17,-5.482
2013/10/18,-1.752
2013/10/19,-1.252
2013/10/20,0.033
2013/10/21,0.146
2013/10/22,0.161
2013/10/23,0.076
2013/10/24,0.362
2013/10/25,0.264
2013/10/26,0.104
2013/10/27,-0.55
2013/10/28,0.122
2013/10/29,0.25
2013/10/30,-0.022
2013/10/31,-0.266
2013/11/01,-0.16
2013/11/02,-0.267
2013/11/03,0.3
2013/11/04,0.58
2013/11/05,0.621
2013/11/06,2.629
2013/11/07,3.029
2013/11/08,2.42
2013/11/09,0.851
2013/11/10,0.572
2013/11/11,0.718
2013/11/12,-0.109
2013/11/13,0.019
2013/11/14,-0.089
2013/11/15,-0.478
2013/11/16,-0.576
2013/11/17,-0.428
2013/11/18,0.046
2013/11/19,0.209
2013/11/20,-0.097
2013/11/21,0.026
2013/11/22,-0.285
2013/11/23,-0.446
2013/11/24,-0.448
2013/11/25,-0.321
2013/11/26,-0.647
2013/11/27,-0.011
2013/11/28,-0.181
2013/11/29,-0.008
2013/11/30,-0.11
2013/12/01,-0.285
2013/12/02,0.064
2013/12/03,-0.441
2013/12/04,-0.57
2013/12/05,-0.55
2013/12/06,-3.091
2013/12/07,-2.689
2013/12/08,-2.863
2013/12/09,-1.109
2013/12/10,-0.7
2013/12/11,-0.896
2013/12/12,-0.096
