Date,mediantransactionvalueUSD
2010/07/17,0.248
2010/07/18,0.363
2010/07/19,0.429
2010/07/20,5.105
2010/07/21,3.837
2010/07/22,1.054
2010/07/23,0.814
2010/07/24,0.445
2010/07/25,0.458
2010/07/26,2.65
2010/07/27,0.195
2010/07/28,0.00297
2010/07/29,0.00324
2010/07/30,0.884
2010/07/31,1.341
2010/08/01,3.053
2010/08/02,3.063
2010/08/03,0.879
2010/08/04,2.984
2010/08/05,2.978
2010/08/06,0.256
2010/08/07,1.438
2010/08/08,0.151
2010/08/09,3.57
2010/08/10,3.45
2010/08/11,3.175
2010/08/12,3.45
2010/08/13,3.275
2010/08/14,3.313
2010/08/15,3.307
2010/08/16,4.602
2010/08/17,3.388
2010/08/18,3.45
2010/08/19,3.365
2010/08/20,3.305
2010/08/21,3.298
2010/08/22,3.275
2010/08/23,3.273
2010/08/24,3.248
2010/08/25,3.28
2010/08/26,0.317
2010/08/27,3.225
2010/08/28,0.646
2010/08/29,0.349
2010/08/30,0.248
2010/08/31,3.103
2010/09/01,0.686
2010/09/02,3.119
2010/09/03,6.163
2010/09/04,6.166
2010/09/05,3.103
2010/09/06,3.108
2010/09/07,3.065
2010/09/08,0.109
2010/09/09,3.055
2010/09/10,0.307
2010/09/11,0.245
2010/09/12,0.0788
2010/09/13,0.745
2010/09/14,3.1
2010/09/15,2.144
2010/09/16,3.095
2010/09/17,2.997
2010/09/18,3
2010/09/19,5.014
2010/09/20,0.745
2010/09/21,0.156
2010/09/22,0.0361
2010/09/23,1.057
2010/09/24,1.199
2010/09/25,0.0528
2010/09/26,0.238
2010/09/27,0.139
2010/09/28,2.441
2010/09/29,6.445
2010/09/30,1.203
2010/10/01,0.769
2010/10/02,0.123
2010/10/03,5.207
2010/10/04,17.413
2010/10/05,14.832
2010/10/06,3.107
2010/10/07,12.715
2010/10/08,12.582
2010/10/09,12.161
2010/10/10,9.624
2010/10/11,6.284
2010/10/12,4.115
2010/10/13,4.925
2010/10/14,92.925
2010/10/15,62.283
2010/10/16,118.54
2010/10/17,25.5
2010/10/18,15.405
2010/10/19,3.94
2010/10/20,4.975
2010/10/21,5.105
2010/10/22,1.119
2010/10/23,2.167
2010/10/24,1.394
2010/10/25,84.172
2010/10/26,96.889
2010/10/27,101.61
2010/10/28,94.853
2010/10/29,9.248
2010/10/30,18.797
2010/10/31,11.89
2010/11/01,0.97
2010/11/02,52.878
2010/11/03,9.673
2010/11/04,32.168
2010/11/05,5.312
2010/11/06,16.3
2010/11/07,20.25
2010/11/08,32.063
2010/11/09,11.85
2010/11/10,22.5
2010/11/11,18.914
2010/11/12,27.775
2010/11/13,14.075
2010/11/14,7.216
2010/11/15,7.199
2010/11/16,12.283
2010/11/17,18.682
2010/11/18,0.0147
2010/11/19,0.00274
2010/11/20,0.00282
2010/11/21,0.00277
2010/11/22,14.909
2010/11/23,14.614
2010/11/24,0.00283
2010/11/25,0.0844
2010/11/26,1.408
2010/11/27,2.428
2010/11/28,4.165
2010/11/29,3.341
2010/11/30,2.191
2010/12/01,3.949
2010/12/02,3.737
2010/12/03,2.831
2010/12/04,2.013
2010/12/05,1.353
2010/12/06,0.702
2010/12/07,2.022
2010/12/08,1.137
2010/12/09,6.39
2010/12/10,5.215
2010/12/11,4.721
2010/12/12,2.518
2010/12/13,11
2010/12/14,36.858
2010/12/15,60.49
2010/12/16,42.688
2010/12/17,12.225
2010/12/18,24.485
2010/12/19,3.368
2010/12/20,5.281
2010/12/21,12.5
2010/12/22,10.68
2010/12/23,12.45
2010/12/24,11.703
2010/12/25,63.819
2010/12/26,39.869
2010/12/27,12.9
2010/12/28,8.501
2010/12/29,14.275
2010/12/30,14.775
2010/12/31,12.798
2011/01/01,14.016
2011/01/02,14.809
2011/01/03,0.0497
2011/01/04,0.198
2011/01/05,0.116
2011/01/06,1.433
2011/01/07,4.333
2011/01/08,0.948
2011/01/09,1.537
2011/01/10,0.373
2011/01/11,1.863
2011/01/12,0.342
2011/01/13,2.418
2011/01/14,0.592
2011/01/15,16.514
2011/01/16,11.239
2011/01/17,16.011
2011/01/18,4.412
2011/01/19,8.462
2011/01/20,5.967
2011/01/21,3.241
2011/01/22,1.004
2011/01/23,14.156
2011/01/24,4.329
2011/01/25,14.814
2011/01/26,15.438
2011/01/27,14.973
2011/01/28,8.818
2011/01/29,7.224
2011/01/30,108.34
2011/01/31,24.831
2011/02/01,29.147
2011/02/02,30.099
2011/02/03,28.391
2011/02/04,33.395
2011/02/05,39.753
2011/02/06,41.043
2011/02/07,40.742
2011/02/08,40.147
2011/02/09,44.08
2011/02/10,50.138
2011/02/11,81.775
2011/02/12,51.662
2011/02/13,42.989
2011/02/14,27.066
2011/02/15,21.976
2011/02/16,17.137
2011/02/17,22.466
2011/02/18,16.047
2011/02/19,40.31
2011/02/20,41.547
2011/02/21,39.584
2011/02/22,40.58
2011/02/23,39.014
2011/02/24,40.06
2011/02/25,42.325
2011/02/26,46.728
2011/02/27,20.67
2011/02/28,17.553
2011/03/01,12.373
2011/03/02,8.798
2011/03/03,13.572
2011/03/04,11.898
2011/03/05,35.651
2011/03/06,37.425
2011/03/07,23.166
2011/03/08,19.375
2011/03/09,36.727
2011/03/10,14.963
2011/03/11,14.687
2011/03/12,0.548
2011/03/13,0.713
2011/03/14,0.00894
2011/03/15,1.65
2011/03/16,0.00863
2011/03/17,0.0543
2011/03/18,6.232
2011/03/19,0.474
2011/03/20,7.176
2011/03/21,0.0076
2011/03/22,31.289
2011/03/23,18.97
2011/03/24,17.906
2011/03/25,31.118
2011/03/26,14.564
2011/03/27,8.196
2011/03/28,14.263
2011/03/29,6.525
2011/03/30,13.761
2011/03/31,16.774
2011/04/01,16.323
2011/04/02,13.386
2011/04/03,15.696
2011/04/04,26.43
2011/04/05,18.144
2011/04/06,12.393
2011/04/07,12.844
2011/04/08,15.037
2011/04/09,14.8
2011/04/10,8.921
2011/04/11,12.04
2011/04/12,17.374
2011/04/13,13.734
2011/04/14,10.131
2011/04/15,22.158
2011/04/16,28.079
2011/04/17,13.675
2011/04/18,4.142
2011/04/19,31.083
2011/04/20,26.855
2011/04/21,21.622
2011/04/22,20.193
2011/04/23,27.674
2011/04/24,17.241
2011/04/25,27.107
2011/04/26,42.163
2011/04/27,36.092
2011/04/28,24.901
2011/04/29,51.852
2011/04/30,38.606
2011/05/01,33.499
2011/05/02,49.288
2011/05/03,69.372
2011/05/04,95.372
2011/05/05,67.04
2011/05/06,63.932
2011/05/07,53.245
2011/05/08,37.685
2011/05/09,53.534
2011/05/10,85.785
2011/05/11,103.734
2011/05/12,64.609
2011/05/13,78.035
2011/05/14,86.584
2011/05/15,106.388
2011/05/16,112.678
2011/05/17,118.415
2011/05/18,81.612
2011/05/19,74.213
2011/05/20,148.994
2011/05/21,186.619
2011/05/22,128.397
2011/05/23,102.9
2011/05/24,143.425
2011/05/25,139.987
2011/05/26,148.405
2011/05/27,146.934
2011/05/28,151.651
2011/05/29,156.396
2011/05/30,162.91
2011/05/31,145.419
2011/06/01,164.891
2011/06/02,156.63
2011/06/03,222.145
2011/06/04,301.761
2011/06/05,381.234
2011/06/06,317.249
2011/06/07,421.522
2011/06/08,446.889
2011/06/09,537.829
2011/06/10,528.688
2011/06/11,589.63
2011/06/12,372.762
2011/06/13,451.909
2011/06/14,530.511
2011/06/15,436.904
2011/06/16,510.827
2011/06/17,323.498
2011/06/18,204.905
2011/06/19,343.583
2011/06/20,356.082
2011/06/21,268.048
2011/06/22,327.259
2011/06/23,272.144
2011/06/24,354.649
2011/06/25,229.915
2011/06/26,235.372
2011/06/27,172.142
2011/06/28,214.671
2011/06/29,267.566
2011/06/30,263.339
2011/07/01,144.698
2011/07/02,284.266
2011/07/03,199.853
2011/07/04,220.458
2011/07/05,211.259
2011/07/06,165.265
2011/07/07,185.381
2011/07/08,172.01
2011/07/09,200.858
2011/07/10,197.555
2011/07/11,148.446
2011/07/12,171.326
2011/07/13,185.783
2011/07/14,184.311
2011/07/15,221.635
2011/07/16,147.762
2011/07/17,160.327
2011/07/18,230.346
2011/07/19,203.225
2011/07/20,193.01
2011/07/21,189.273
2011/07/22,205.79
2011/07/23,207.67
2011/07/24,205.688
2011/07/25,204.922
2011/07/26,211.557
2011/07/27,288.676
2011/07/28,337.811
2011/07/29,211.92
2011/07/30,270.318
2011/07/31,209.483
2011/08/01,221.43
2011/08/02,172.404
2011/08/03,213.267
2011/08/04,108.051
2011/08/05,144.389
2011/08/06,117.899
2011/08/07,122.254
2011/08/08,140.019
2011/08/09,126.834
2011/08/10,138.926
2011/08/11,127.862
2011/08/12,127.791
2011/08/13,98.106
2011/08/14,123.149
2011/08/15,77.031
2011/08/16,73.61
2011/08/17,115.58
2011/08/18,139.027
2011/08/19,122.179
2011/08/20,143.323
2011/08/21,116.808
2011/08/22,163.109
2011/08/23,153.284
2011/08/24,142.054
2011/08/25,143.553
2011/08/26,147.57
2011/08/27,148.063
2011/08/28,136.721
2011/08/29,90.286
2011/08/30,115.819
2011/08/31,153.685
2011/09/01,144.762
2011/09/02,141.218
2011/09/03,159.825
2011/09/04,91.516
2011/09/05,146.275
2011/09/06,180.63
2011/09/07,105.491
2011/09/08,106.728
2011/09/09,115.037
2011/09/10,84.394
2011/09/11,79.784
2011/09/12,95.934
2011/09/13,106.644
2011/09/14,122.027
2011/09/15,104.645
2011/09/16,96.698
2011/09/17,102.486
2011/09/18,99.508
2011/09/19,68.768
2011/09/20,40.509
2011/09/21,58.747
2011/09/22,83.034
2011/09/23,120.387
2011/09/24,114.939
2011/09/25,79.286
2011/09/26,81.145
2011/09/27,97.853
2011/09/28,72.658
2011/09/29,98.102
2011/09/30,96.844
2011/10/01,95.568
2011/10/02,102.63
2011/10/03,72.867
2011/10/04,109.446
2011/10/05,110.499
2011/10/06,97.551
2011/10/07,111.56
2011/10/08,88.555
2011/10/09,85.199
2011/10/10,69.288
2011/10/11,57.969
2011/10/12,73.85
2011/10/13,64.873
2011/10/14,82.707
2011/10/15,77.59
2011/10/16,75.798
2011/10/17,60.994
2011/10/18,49.628
2011/10/19,41.335
2011/10/20,45.126
2011/10/21,51.033
2011/10/22,62.635
2011/10/23,60.654
2011/10/24,62.386
2011/10/25,52.411
2011/10/26,48.153
2011/10/27,54.566
2011/10/28,62.314
2011/10/29,67.511
2011/10/30,52.862
2011/10/31,47.093
2011/11/01,60.606
2011/11/02,64.044
2011/11/03,56.872
2011/11/04,61.215
2011/11/05,59.221
2011/11/06,59.33
2011/11/07,59.661
2011/11/08,61.482
2011/11/09,50.967
2011/11/10,45.458
2011/11/11,59.198
2011/11/12,65.528
2011/11/13,43.554
2011/11/14,52.218
2011/11/15,47.718
2011/11/16,50.431
2011/11/17,67.416
2011/11/18,43.183
2011/11/19,44.758
2011/11/20,44.139
2011/11/21,48.855
2011/11/22,46.907
2011/11/23,38.641
2011/11/24,41.836
2011/11/25,47.811
2011/11/26,54.098
2011/11/27,44.677
2011/11/28,40.545
2011/11/29,33.503
2011/11/30,45.619
2011/12/01,48.016
2011/12/02,52.309
2011/12/03,50.373
2011/12/04,40.799
2011/12/05,33.867
2011/12/06,22.378
2011/12/07,49.5
2011/12/08,53.598
2011/12/09,59.959
2011/12/10,75.141
2011/12/11,63.111
2011/12/12,63.86
2011/12/13,56.755
2011/12/14,67.51
2011/12/15,63.424
2011/12/16,65.335
2011/12/17,56.806
2011/12/18,50.223
2011/12/19,63.3
2011/12/20,74.744
2011/12/21,66.606
2011/12/22,66.151
2011/12/23,49.058
2011/12/24,52.507
2011/12/25,57.425
2011/12/26,60.722
2011/12/27,56.783
2011/12/28,74.198
2011/12/29,62.743
2011/12/30,67.354
2011/12/31,68.568
2012/01/01,77.224
2012/01/02,64.755
2012/01/03,68.728
2012/01/04,79.424
2012/01/05,89.693
2012/01/06,117.343
2012/01/07,104.026
2012/01/08,98.969
2012/01/09,94.497
2012/01/10,70.104
2012/01/11,72.964
2012/01/12,71.266
2012/01/13,72.549
2012/01/14,71.498
2012/01/15,65.158
2012/01/16,68.702
2012/01/17,77.285
2012/01/18,93.135
2012/01/19,90.897
2012/01/20,87.532
2012/01/21,95.084
2012/01/22,99.797
2012/01/23,92.663
2012/01/24,78.234
2012/01/25,71.349
2012/01/26,75.052
2012/01/27,70.637
2012/01/28,70.403
2012/01/29,61.161
2012/01/30,98.6
2012/01/31,88.387
2012/02/01,83.602
2012/02/02,71.674
2012/02/03,99.758
2012/02/04,76.974
2012/02/05,71.936
2012/02/06,72.264
2012/02/07,66.013
2012/02/08,71.691
2012/02/09,57.093
2012/02/10,40.988
2012/02/11,48.448
2012/02/12,57.614
2012/02/13,55.43
2012/02/14,42.518
2012/02/15,24.21
2012/02/16,22.256
2012/02/17,75.1
2012/02/18,67.028
2012/02/19,53.412
2012/02/20,50.067
2012/02/21,64.446
2012/02/22,69.572
2012/02/23,50.376
2012/02/24,72.366
2012/02/25,80.332
2012/02/26,74.837
2012/02/27,68.248
2012/02/28,76.369
2012/02/29,70.878
2012/03/01,76.052
2012/03/02,71.552
2012/03/03,68.971
2012/03/04,68.046
2012/03/05,62.562
2012/03/06,66.058
2012/03/07,73.224
2012/03/08,73.089
2012/03/09,75.405
2012/03/10,67.86
2012/03/11,63.409
2012/03/12,81.995
2012/03/13,70.275
2012/03/14,87.855
2012/03/15,73.698
2012/03/16,82.587
2012/03/17,54.012
2012/03/18,62.742
2012/03/19,68.805
2012/03/20,72.042
2012/03/21,78.104
2012/03/22,76.983
2012/03/23,64.087
2012/03/24,74.908
2012/03/25,60.613
2012/03/26,61.707
2012/03/27,64.055
2012/03/28,68.66
2012/03/29,75.292
2012/03/30,93.357
2012/03/31,84.079
2012/04/01,74.587
2012/04/02,62.253
2012/04/03,69.675
2012/04/04,69.831
2012/04/05,68.808
2012/04/06,77.344
2012/04/07,62.316
2012/04/08,58.257
2012/04/09,69.876
2012/04/10,39.101
2012/04/11,63.175
2012/04/12,75.717
2012/04/13,90.126
2012/04/14,59.694
2012/04/15,48.702
2012/04/16,72.621
2012/04/17,93.482
2012/04/18,72.693
2012/04/19,78.466
2012/04/20,107.066
2012/04/21,74.924
2012/04/22,58.483
2012/04/23,59.866
2012/04/24,76.205
2012/04/25,47.441
2012/04/26,37.598
2012/04/27,65.976
2012/04/28,50.447
2012/04/29,31.007
2012/04/30,33.092
2012/05/01,24.407
2012/05/02,32.977
2012/05/03,14.894
2012/05/04,10.365
2012/05/05,10.761
2012/05/06,15.086
2012/05/07,10.161
2012/05/08,9.979
2012/05/09,12.312
2012/05/10,14.862
2012/05/11,5.963
2012/05/12,6.165
2012/05/13,7.8
